#node1	node2
STAT1	NAMPT
STAT1	NAPA
STAT1	NCOA7
STAT1	NDUFAF6
STAT1	NDUFV2
STAT1	NF2
STAT1	NFKB2
STAT1	NFKBIZ
STAT1	NID1
STAT1	NMI
STAT1	NNMT
STAT1	NOLC1
STAT1	NR0B2
STAT1	NR1D1
STAT1	NRSN2
STAT1	NRSN2-AS1
STAT1	NSUN6
STAT1	NT5C2
STAT1	NUCB1
STAT1	NXT1
STAT1	OAS1
STAT1	OAS2
STAT1	OAS3
STAT1	OASL
STAT1	OGFR
STAT1	ORAI1
STAT1	ORC2
STAT1	OSGIN2
STAT1	OSMR
STAT1	OTUD5
STAT1	PAAF1
STAT1	PACRGL
STAT1	PARP10
STAT1	PARP14
STAT1	PARP6
STAT1	PATL1
STAT1	PAX6
STAT1	PCTP
STAT1	PDE11A
STAT1	PDE4D
STAT1	PDXK
STAT1	PGM3
STAT1	PHACTR4
STAT1	PHF11
STAT1	PHYKPL
STAT1	PIK3C2A
STAT1	PIKFYVE
STAT1	PIM2
STAT1	PLBD1
STAT1	PLCE1
STAT1	PLEKHA4
STAT1	PLEKHB2
STAT1	PLG
STAT1	PLSCR1
STAT1	PLSCR4
STAT1	PML
STAT1	PNKP
STAT1	PNPLA8
STAT1	PNPT1
STAT1	PNRC2
STAT1	POC1A
STAT1	POLA1
STAT1	POLR2H
STAT1	POLR3A
STAT1	POR
STAT1	POT1
STAT1	PPP1R15B
STAT1	PPP1R3B
STAT1	PPP2R2A
STAT1	PPP6R3
STAT1	PRC1
STAT1	PRKCE
STAT1	PRKD2
STAT1	PRMT7
STAT1	PROS1
STAT1	PRPF3
STAT1	PSAPL1
STAT1	PSMB3
STAT1	PSMD3
STAT1	PSRC1
STAT1	PUS3
STAT1	RAB1B
STAT1	RAB27A
STAT1	RAD1
STAT1	RALBP1
STAT1	RANGAP1
STAT1	RAP1A
STAT1	RASGRP3
STAT1	RBBP5
STAT1	RBBP6
STAT1	RBCK1
STAT1	RBM42
STAT1	RBM43
STAT1	RBM5
STAT1	RBM7
STAT1	RBM8A
STAT1	RBP4
STAT1	RCAN1
STAT1	RELB
STAT1	RFFL
STAT1	RGS5
STAT1	RIPK1
STAT1	RLIM
STAT1	RNF213
STAT1	RPL28
STAT1	RPS12
STAT1	RPS27A
STAT1	RPS6KB2
STAT1	RSAD2
STAT1	RTF1
STAT1	RTN4
STAT1	RTP4
STAT1	RUNX1
STAT1	S100PBP
STAT1	SAMD9
STAT1	SCAF11
STAT1	SCAMP1-AS1
STAT1	SCARB2
STAT1	SCN9A
STAT1	SCYL3
STAT1	SDCCAG8
STAT1	SDE2
STAT1	SDSL
STAT1	SEC16B
STAT1	SEMA4B
STAT1	SEPHS2
STAT1	SERPINA10
STAT1	SERPINA11
STAT1	SERPINB1
STAT1	SERPIND1
STAT1	SERPING1
STAT1	SERTAD3
STAT1	SF3B6
STAT1	SH3PXD2A
STAT1	SHC2
STAT1	SHISA5
STAT1	SIAE
STAT1	SKI
STAT1	SLC11A2
STAT1	SLC15A3
STAT1	SLC16A5
STAT1	SLC1A5
STAT1	SLC22A10
STAT1	SLC25A18
STAT1	SLC25A28
STAT1	SLC25A44
STAT1	SLC26A6
STAT1	SLC35C1
STAT1	SLC35D2
STAT1	SLC39A1
STAT1	SLC45A4
STAT1	SLC6A12
STAT1	SLC7A2
STAT1	SLC9B2
STAT1	SLFN12
STAT1	SMARCA5
STAT1	SMARCC1
STAT1	SMCO4
STAT1	SMG1
STAT1	SMNDC1
STAT1	SMPD1
STAT1	SNAPC5
STAT1	SNAPIN
STAT1	SND1
STAT1	SNHG21
STAT1	SNRPB
STAT1	SNTB2
STAT1	SOCS1
STAT1	SOCS3
STAT1	SOCS7
STAT1	SP100
STAT1	SP110
STAT1	SP140L
STAT1	SPHK1
STAT1	SPRYD4
STAT1	SPTBN1
STAT1	SRSF4
STAT1	SSBP4
STAT1	SSR1
STAT1	STAG1
STAT1	STARD4
STAT1	STAT1
STAT1	STAT2
STAT1	STAT3
STAT1	STK3
STAT1	STK40
STAT1	STOML1
STAT1	STRADA
STAT1	STX17
STAT1	SUN2
STAT1	SVIP
STAT1	TACC1
STAT1	TADA2A
STAT1	TAF1B
STAT1	TAF5
STAT1	TAP1
STAT1	TAP2
STAT1	TAPBP
STAT1	TARS2
STAT1	TATDN3
