Symbol	Motif	col	Shape
RBM43	ISRE	#FA8072	ellipse
PROS1	GAS	#FF0000	diamond
PSMB3	GAS	#DAA520	diamond
RPS12	ISRE	#ADFF2F	ellipse
RAB27A	GAS	#DAA520	diamond
RAD1	GAS	#DAA520	diamond
SEC16B	ISRE	#FA8072	ellipse
RAP1A	GAS	#DAA520	diamond
SHISA5	composite	#FA8072	rectangle
SLC15A3	ISRE	#FA8072	ellipse
RBM42	GAS	#DAA520	diamond
SLFN12	ISRE	#FA8072	ellipse
RBM7	GAS	#FFADAD	diamond
SMARCA5	ISRE	#FA8072	ellipse
RBP4	GAS	#DAA520	diamond
SOCS1	ISRE	#FA8072	ellipse
SP100	ISRE	#FA8072	ellipse
RPS6KB2	GAS	#FA8072	diamond
SP140L	ISRE	#FA8072	ellipse
SCN9A	GAS	#FF0000	diamond
SDSL	GAS	#DAA520	diamond
STAT1	ISRE	#FA8072	ellipse
SEPHS2	GAS	#FF0000	diamond
STAT2	ISRE	#FA8072	ellipse
SERPINB1	GAS	#FF0000	diamond
TAP1	ISRE	#FA8072	ellipse
SERPING1	GAS	#ADFF2F	diamond
TAP2	ISRE	#FA8072	ellipse
SHC2	GAS	#DAA520	diamond
TAPBP	ISRE	#FA8072	ellipse
SKI	GAS	#DAA520	diamond
TAPBPL	ISRE	#40E0D0	ellipse
SLC25A18	GAS	#FF0000	diamond
SLC7A2	GAS	#FF0000	diamond
TMEM140	ISRE	#FA8072	ellipse
TMEM62	ISRE	#ADFF2F	ellipse
SMPD1	GAS	#DAA520	diamond
TRIM14	ISRE	#FA8072	ellipse
SOCS3	GAS	#FF0000	diamond
TRIM26	ISRE	#FA8072	ellipse
SSBP4	GAS	#FF0000	diamond
STAT3	GAS	#FF0000	diamond
USF1	ISRE	#40E0D0	ellipse
XAF1	ISRE	#FA8072	ellipse
ZC3H7B	ISRE	#40E0D0	ellipse
TCIRG1	GAS	#FF0000	diamond
ZFYVE26	ISRE	#40E0D0	ellipse
TNFAIP1	GAS	#FF0000	diamond
TOP1	GAS	#FF0000	diamond
UBE2D1	GAS	#DAA520	diamond
WSB1	GAS	#DAA520	diamond
YPEL2	GAS	#FF0000	diamond
ZNF24	GAS	#DAA520	diamond
