Symbol	Motif
ACOT7	ISRE
ACY3	ISRE
ADAR	ISRE
AGT	GAS
AIG1	GAS
ANXA2R	GAS
APOA2	GAS
APOL2	composite
APOL6	composite
ASAP1	GAS
ASXL1	GAS
B2M	ISRE
BATF2	ISRE
BCL2L14	composite
BCL6	GAS
C19orf12	GAS
C1RL	GAS
C1S	GAS
C2	GAS
CASP4	ISRE
CASP7	ISRE
CASP8	composite
CD274	composite
CEACAM1	ISRE
CFB	composite
CMPK2	ISRE
CREBRF	GAS
CSF1	composite
CUTA	GAS
CYTH1	ISRE
DDX58	composite
DDX60	ISRE
DDX60L	ISRE
DNAJA1	ISRE
DNPEP	ISRE
DTX3L	composite
EFNA1	GAS
ETV6	composite
ETV7	composite
FAM111A	ISRE
FGA	GAS
FGL1	composite
GBP1	ISRE
GBP1P1	ISRE
GBP3	composite
GCLM	GAS
GNA13	ISRE
GNB2	GAS
GNB4	ISRE
GSDMD	ISRE
HABP2	GAS
HLA-E	GAS
ICAM1	GAS
IFI35	composite
IFI6	ISRE
IFIT1	ISRE
IFIT2	ISRE
IFIT3	ISRE
IFIT5	ISRE
IFITM3	composite
IL15	composite
IRF1	GAS
IRF2	composite
IRF9	composite
ISG15	ISRE
ISG20	ISRE
LAP3	ISRE
LGALS3BP	composite
LOC153684	ISRE
MDK	composite
MITD1	GAS
MOV10	ISRE
MVB12A	composite
MX1	composite
MYD88	composite
NAMPT	GAS
NAPA	composite
NCOA7	composite
NFKBIZ	GAS
NMI	composite
NOD1	ISRE
NUCB1	GAS
OAS1	ISRE
OAS2	ISRE
OAS3	ISRE
OGFR	ISRE
OSMR	GAS
PARP10	ISRE
PARP14	composite
PHF11	composite
PLEKHB2	GAS
PLSCR1	composite
PML	composite
PNPT1	ISRE
PRKD2	ISRE
PROS1	GAS
PSME1	ISRE
RBCK1	ISRE
RBM43	ISRE
RBM7	GAS
RIPK1	composite
RNF213	composite
RPS12	ISRE
RPS6KB2	GAS
RTP4	ISRE
SAMD9	ISRE
SCN9A	GAS
SEC16B	ISRE
SEPHS2	GAS
SERPINB1	GAS
SERPING1	GAS
SHISA5	composite
SLC15A3	ISRE
SLC25A18	GAS
SLC7A2	GAS
SLFN12	ISRE
SMARCA5	ISRE
SOCS1	ISRE
SOCS3	GAS
SP100	ISRE
SP110	composite
SP140L	ISRE
SPTBN1	composite
SSBP4	GAS
STAT1	ISRE
STAT2	ISRE
STAT3	GAS
STX17	composite
TAP1	ISRE
TAP2	ISRE
TAPBP	ISRE
TCIRG1	GAS
TMEM140	ISRE
TNFAIP1	GAS
TOP1	GAS
TRIM14	ISRE
TRIM26	ISRE
TRIM44	ISRE
USP18	composite
VTN	GAS
XAF1	ISRE
YPEL2	GAS
ZC3HAV1	composite
