Symbol	Motif
ACY3	ISRE
ADAR	ISRE
APOL2	composite
APOL6	composite
BATF2	ISRE
CD274	composite
CMPK2	ISRE
DDX58	composite
DDX60	ISRE
GBP1	ISRE
GBP1P1	ISRE
GBP3	composite
HLA-E	GAS
IFI6	ISRE
IFIT1	ISRE
IFIT3	ISRE
IFIT5	ISRE
IFITM3	composite
IRF2	composite
IRF9	composite
ISG15	ISRE
ISG20	ISRE
LAP3	ISRE
MVB12A	composite
MX1	composite
NAPA	composite
OAS3	ISRE
PARP14	composite
PLSCR1	composite
PNPT1	ISRE
RNF213	composite
RPS12	ISRE
SEC16B	ISRE
SERPING1	GAS
SHISA5	composite
SP100	ISRE
SP110	composite
STAT1	ISRE
STAT2	ISRE
TAP1	ISRE
TMEM140	ISRE
USP18	composite
ZC3HAV1	composite
