Symbol	Motif	Target	Shape	colr
STX17	composite	IRF1	rectangle	#ffd6a5
KDSR	ISRE	IRF1	ellipse	#ffd6a5
HPX	GAS	STAT1	diamond	#fdffb6
ICAM1	GAS	STAT1	diamond	#fdffb6
LAP3	ISRE	STAT1 + IRF1 + IRF9	ellipse	#ffadad
IMPAD1	GAS	STAT1	diamond	#fdffb6
USP18	composite	STAT1 + IRF1 + IRF9	rectangle	#ffadad
INTS10	GAS	STAT1	diamond	#fdffb6
VTN	GAS	STAT1	diamond	#fdffb6
MOV10	ISRE	IRF1	ellipse	#ffd6a5
IPO8	GAS	STAT1	diamond	#fdffb6
ZC3HAV1	composite	STAT1 + IRF1 + IRF9	rectangle	#ffadad
IRF1	GAS	STAT1	diamond	#fdffb6
NCOA7	composite	STAT1 + IRF1	rectangle	#caffbf
NEDD1	ISRE	IRF1	ellipse	#ffd6a5
NOD1	ISRE	IRF1	ellipse	#ffd6a5
LSR	GAS	STAT1	diamond	#fdffb6
MAFF	GAS	STAT1	diamond	#fdffb6
MAN1A1	GAS	STAT1	diamond	#fdffb6
OAS1	ISRE	IRF1	ellipse	#ffd6a5
MAPKAPK3	GAS	STAT1	diamond	#fdffb6
OAS2	ISRE	IRF1	ellipse	#ffd6a5
MED16	GAS	STAT1	diamond	#fdffb6
OAS3	ISRE	STAT1 + IRF1 + IRF9	ellipse	#ffadad
OGFR	ISRE	IRF1	ellipse	#ffd6a5
MITD1	GAS	STAT1	diamond	#fdffb6
OPTN	ISRE	IRF1	ellipse	#ffd6a5
MTPN	GAS	STAT1	diamond	#fdffb6
OTUD4	ISRE	IRF1	ellipse	#ffd6a5
PANX1	ISRE	IRF1	ellipse	#ffd6a5
NAMPT	GAS	STAT1	diamond	#fdffb6
PARP10	ISRE	IRF1	ellipse	#ffd6a5
PCNA	ISRE	IRF1	ellipse	#ffd6a5
NFKB2	GAS	STAT1	diamond	#fdffb6
NFKBIZ	GAS	STAT1	diamond	#fdffb6
NNMT	GAS	STAT1	diamond	#fdffb6
PNPT1	ISRE	IRF1	ellipse	#ffd6a5
PRKD2	ISRE	IRF1	ellipse	#ffd6a5
NUCB1	GAS	STAT1	diamond	#fdffb6
PRRG4	ISRE	IRF1	ellipse	#ffd6a5
PSMB10	ISRE	IRF1	ellipse	#ffd6a5
OSMR	GAS	STAT1	diamond	#fdffb6
PDE4D	GAS	STAT1	diamond	#fdffb6
PSME1	ISRE	IRF1	ellipse	#ffd6a5
PLEKHB2	GAS	STAT1	diamond	#fdffb6
RBCK1	ISRE	IRF1	ellipse	#ffd6a5
RBM43	ISRE	IRF1	ellipse	#ffd6a5
PROS1	GAS	STAT1	diamond	#fdffb6
PSMB3	GAS	STAT1	diamond	#fdffb6
RPS12	ISRE	IRF1	ellipse	#ffd6a5
RAB27A	GAS	STAT1	diamond	#fdffb6
RAD1	GAS	STAT1	diamond	#fdffb6
SEC16B	ISRE	STAT1 + IRF1 + IRF9	ellipse	#ffadad
RAP1A	GAS	STAT1	diamond	#fdffb6
SHISA5	composite	STAT1 + IRF1 + IRF9	rectangle	#ffadad
SLC15A3	ISRE	IRF1	ellipse	#ffd6a5
RBM42	GAS	STAT1	diamond	#fdffb6
SLFN12	ISRE	IRF1	ellipse	#ffd6a5
RBM7	composite	STAT1+IRF1	rectangle	#caffbf
SMARCA5	ISRE	IRF1	ellipse	#ffd6a5
RBP4	GAS	STAT1	diamond	#fdffb6
SOCS1	ISRE	IRF1	ellipse	#ffd6a5
SP100	ISRE	STAT1 + IRF1 + IRF9	ellipse	#ffadad
RPS6KB2	composite	STAT1+IRF1	rectangle	#caffbf
SP140L	ISRE	IRF1	ellipse	#ffd6a5
SCN9A	GAS	STAT1	diamond	#fdffb6
SDSL	GAS	STAT1	diamond	#fdffb6
STAT1	ISRE	STAT1 + IRF1 + IRF9	ellipse	#ffadad
SEPHS2	GAS	STAT1	diamond	#fdffb6
STAT2	ISRE	STAT1 + IRF1 + IRF9	ellipse	#ffadad
SERPINB1	GAS	STAT1	diamond	#fdffb6
TAP1	ISRE	STAT1 + IRF1 + IRF9	ellipse	#ffadad
SERPING1	GAS	STAT1	diamond	#fdffb6
TAP2	ISRE	IRF1	ellipse	#ffd6a5
SHC2	GAS	STAT1	diamond	#fdffb6
TAPBP	ISRE	IRF1	ellipse	#ffd6a5
SKI	GAS	STAT1	diamond	#fdffb6
TAPBPL	ISRE	IRF1	ellipse	#ffd6a5
SLC25A18	GAS	STAT1	diamond	#fdffb6
SLC7A2	GAS	STAT1	diamond	#fdffb6
TMEM140	ISRE	STAT1 + IRF1 + IRF9	ellipse	#ffadad
SMPD1	GAS	STAT1	diamond	#fdffb6
TRIM14	ISRE	IRF1	ellipse	#ffd6a5
SOCS3	GAS	STAT1	diamond	#fdffb6
TRIM26	ISRE	IRF1	ellipse	#ffd6a5
SSBP4	GAS	STAT1	diamond	#fdffb6
TRIM44	ISRE	IRF1	ellipse	#ffd6a5
STAT3	GAS	STAT1	diamond	#fdffb6
USF1	ISRE	IRF1	ellipse	#ffd6a5
XAF1	ISRE	IRF1	ellipse	#ffd6a5
ZC3H7B	ISRE	IRF1	ellipse	#ffd6a5
TCIRG1	GAS	STAT1	diamond	#fdffb6
ZFYVE26	ISRE	IRF1	ellipse	#ffd6a5
TNFAIP1	GAS	STAT1	diamond	#fdffb6
TOP1	GAS	STAT1	diamond	#fdffb6
UBE2D1	GAS	STAT1	diamond	#fdffb6
WSB1	GAS	STAT1	diamond	#fdffb6
YPEL2	GAS	STAT1	diamond	#fdffb6
ZNF24	GAS	STAT1	diamond	#fdffb6
TRIM69	composite	STAT1+IRF9	rectangle	#9bf6ff
UBE2L6	composite	STAT1+IRF9+IRF1	rectangle	#ffadad
FGB	GAS	STAT1	diamond	#fdffb6
CCND1	ISRE	IRF1	ellipse	#ffd6a5
