Symbol	Motif	col	Target	Shape
GEN1	GAS	#9bf6ff	STAT1	diamond
PRRC2C	composite	#fdffb6	IRF1	rectangle
GNB2	GAS	#caffbf	STAT1 + STAT2	diamond
H6PD	GAS	#9bf6ff	STAT1	diamond
RIPK1	composite	#caffbf	STAT1 + STAT2	rectangle
HABP2	GAS	#99d8c9	STAT1 + STAT2 + IRF1	diamond
RNF213	composite	#ffadad	STAT1+STAT2+IRF9+IRF1	rectangle
RTP4	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
IFIT1	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
SAMD9	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
IFIT2	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
HIPK3	GAS	#9bf6ff	STAT1	diamond
SERPIND1	composite	#9bf6ff	STAT1	rectangle
IFIT3	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
HLA-E	GAS	#ffadad	STAT1+STAT2+IRF9+IRF1	diamond
SMG1	composite	#9bf6ff	STAT1	rectangle
HNRNPR	GAS	#9bf6ff	STAT1	diamond
SP110	composite	#ffadad	STAT1+STAT2+IRF9+IRF1	rectangle
ISG15	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
SPTBN1	composite	#ffadad	STAT1+STAT2+IRF9+IRF1	rectangle
ISG20	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
STX17	composite	#ffadad	STAT1+STAT2+IRF9+IRF1	rectangle
KDSR	ISRE	#fdffb6	IRF1	ellipse
HPX	GAS	#9bf6ff	STAT1	diamond
ICAM1	GAS	#caffbf	STAT1 + STAT2	diamond
LAP3	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
IMPAD1	GAS	#9bf6ff	STAT1	diamond
USP18	composite	#ffadad	STAT1+STAT2+IRF9+IRF1	rectangle
LOC153684	ISRE	#c994c7	STAT2 + IRF1	ellipse
INTS10	GAS	#9bf6ff	STAT1	diamond
VTN	GAS	#ffd6a5	STAT1 + STAT2 + IRF9	diamond
MOV10	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
IPO8	GAS	#9bf6ff	STAT1	diamond
ZC3HAV1	composite	#ffadad	STAT1+STAT2+IRF9+IRF1	rectangle
IRF1	GAS	#ffd6a5	STAT1 + STAT2 + IRF9	diamond
NCOA7	composite	#ffadad	STAT1+STAT2+IRF9+IRF1	rectangle
NEDD1	ISRE	#fdffb6	IRF1	ellipse
NOD1	ISRE	#c994c7	STAT2 + IRF1	ellipse
LSR	GAS	#9bf6ff	STAT1	diamond
MAFF	GAS	#9bf6ff	STAT1	diamond
MAN1A1	GAS	#9bf6ff	STAT1	diamond
OAS1	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
MAPKAPK3	GAS	#9bf6ff	STAT1	diamond
OAS2	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
MED16	GAS	#9bf6ff	STAT1	diamond
OAS3	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
