#node1	node2
STAT2	ACOT7
STAT2	ACY3
STAT2	ADAR
STAT2	AGT
STAT2	AIG1
STAT2	ANXA2R
STAT2	APOA2
STAT2	APOL2
STAT2	APOL6
STAT2	ASAP1
STAT2	ASXL1
STAT2	B2M
STAT2	BATF2
STAT2	BCL2L14
STAT2	BCL6
STAT2	C19orf12
STAT2	C1RL
STAT2	C1S
STAT2	C2
STAT2	CASP4
STAT2	CASP7
STAT2	CASP8
STAT2	CD274
STAT2	CEACAM1
STAT2	CFB
STAT2	CMPK2
STAT2	CREBRF
STAT2	CSF1
STAT2	CUTA
STAT2	CYTH1
STAT2	DDX58
STAT2	DDX60
STAT2	DDX60L
STAT2	DNAJA1
STAT2	DNPEP
STAT2	DTX3L
STAT2	EFNA1
STAT2	ETV6
STAT2	ETV7
STAT2	FAM111A
STAT2	FGA
STAT2	FGL1
STAT2	GBP1
STAT2	GBP1P1
STAT2	GBP3
STAT2	GCLM
STAT2	GNA13
STAT2	GNB2
STAT2	GNB4
STAT2	GSDMD
STAT2	HABP2
STAT2	HLA-E
STAT2	ICAM1
STAT2	IFI35
STAT2	IFI6
STAT2	IFIT1
STAT2	IFIT2
STAT2	IFIT3
STAT2	IFIT5
STAT2	IFITM3
STAT2	IL15
STAT2	IRF1
STAT2	IRF2
STAT2	IRF9
STAT2	ISG15
STAT2	ISG20
STAT2	LAP3
STAT2	LGALS3BP
STAT2	LOC153684
STAT2	MDK
STAT2	MITD1
STAT2	MOV10
STAT2	MVB12A
STAT2	MX1
STAT2	MYD88
STAT2	NAMPT
STAT2	NAPA
STAT2	NCOA7
STAT2	NFKBIZ
STAT2	NMI
STAT2	NOD1
STAT2	NUCB1
STAT2	OAS1
STAT2	OAS2
STAT2	OAS3
STAT2	OGFR
STAT2	OSMR
STAT2	PARP10
STAT2	PARP14
STAT2	PHF11
STAT2	PLEKHB2
STAT2	PLSCR1
STAT2	PML
STAT2	PNPT1
STAT2	PRKD2
STAT2	PROS1
STAT2	PSME1
STAT2	RBCK1
STAT2	RBM43
STAT2	RBM7
STAT2	RIPK1
STAT2	RNF213
STAT2	RPS12
STAT2	RPS6KB2
STAT2	RTP4
STAT2	SAMD9
STAT2	SCN9A
STAT2	SEC16B
STAT2	SEPHS2
STAT2	SERPINB1
STAT2	SERPING1
STAT2	SHISA5
STAT2	SLC15A3
STAT2	SLC25A18
STAT2	SLC7A2
STAT2	SLFN12
STAT2	SMARCA5
STAT2	SOCS1
STAT2	SOCS3
STAT2	SP100
STAT2	SP110
STAT2	SP140L
STAT2	SPTBN1
STAT2	SSBP4
STAT2	STAT1
STAT2	STAT2
STAT2	STAT3
STAT2	STX17
STAT2	TAP1
STAT2	TAP2
STAT2	TAPBP
STAT2	TCIRG1
STAT2	TMEM140
STAT2	TNFAIP1
STAT2	TOP1
STAT2	TRIM14
STAT2	TRIM26
STAT2	TRIM44
STAT2	USP18
STAT2	VTN
STAT2	XAF1
STAT2	YPEL2
STAT2	ZC3HAV1
